url,method,param_name,input_type,default_value,form_action,input_value,label,response_status,response_time,html_content_length,error_message_flag,response_body_path
http://localhost:8080/login.php,POST,username,text,,login.php,test,safe,404,6.070375442504883,0,0,outputs/response_logs/response_0.html
http://localhost:8080/login.php,POST,username,text,,login.php,' OR '1'='1' --,injection,404,4.441499710083008,0,0,outputs/response_logs/response_1.html
http://localhost:8080/login.php,POST,username,text,,login.php,1; DROP TABLE users --,injection,404,2.9604434967041016,0,0,outputs/response_logs/response_2.html
http://localhost:8080/login.php,POST,password,password,,login.php,test,safe,404,4.277944564819336,0,0,outputs/response_logs/response_3.html
http://localhost:8080/login.php,POST,password,password,,login.php,' OR '1'='1' --,injection,404,2.111673355102539,0,0,outputs/response_logs/response_4.html
http://localhost:8080/login.php,POST,password,password,,login.php,1; DROP TABLE users --,injection,404,2.3317337036132812,0,0,outputs/response_logs/response_5.html
http://localhost:8080/login.php,POST,Login,submit,Login,login.php,Login,safe,404,3.3631324768066406,0,0,outputs/response_logs/response_6.html
http://localhost:8080/login.php,POST,Login,submit,Login,login.php,' OR '1'='1' --,injection,404,2.0647048950195312,0,0,outputs/response_logs/response_7.html
http://localhost:8080/login.php,POST,Login,submit,Login,login.php,1; DROP TABLE users --,injection,404,4.088401794433594,0,0,outputs/response_logs/response_8.html
http://localhost:8080/login.php,POST,user_token,hidden,1da6e93560384bc52ca35601fc7e4ff4,login.php,1da6e93560384bc52ca35601fc7e4ff4,safe,404,2.218484878540039,0,0,outputs/response_logs/response_9.html
http://localhost:8080/login.php,POST,user_token,hidden,1da6e93560384bc52ca35601fc7e4ff4,login.php,' OR '1'='1' --,injection,404,2.035856246948242,0,0,outputs/response_logs/response_10.html
http://localhost:8080/login.php,POST,user_token,hidden,1da6e93560384bc52ca35601fc7e4ff4,login.php,1; DROP TABLE users --,injection,404,2.3331642150878906,0,0,outputs/response_logs/response_11.html
http://localhost:8080/login.php,POST,username,text,,login.php,test,safe,404,2.559661865234375,0,0,outputs/response_logs/response_12.html
http://localhost:8080/login.php,POST,username,text,,login.php,' OR '1'='1' --,injection,404,1.9450187683105469,0,0,outputs/response_logs/response_13.html
http://localhost:8080/login.php,POST,username,text,,login.php,1; DROP TABLE users --,injection,404,1.9884109497070312,0,0,outputs/response_logs/response_14.html
http://localhost:8080/login.php,POST,password,password,,login.php,test,safe,404,1.9717216491699219,0,0,outputs/response_logs/response_15.html
http://localhost:8080/login.php,POST,password,password,,login.php,' OR '1'='1' --,injection,404,1.7881393432617188,0,0,outputs/response_logs/response_16.html
http://localhost:8080/login.php,POST,password,password,,login.php,1; DROP TABLE users --,injection,404,1.9712448120117188,0,0,outputs/response_logs/response_17.html
http://localhost:8080/login.php,POST,Login,submit,Login,login.php,Login,safe,404,1.8353462219238281,0,0,outputs/response_logs/response_18.html
http://localhost:8080/login.php,POST,Login,submit,Login,login.php,' OR '1'='1' --,injection,404,2.063751220703125,0,0,outputs/response_logs/response_19.html
http://localhost:8080/login.php,POST,Login,submit,Login,login.php,1; DROP TABLE users --,injection,404,1.8050670623779297,0,0,outputs/response_logs/response_20.html
http://localhost:8080/login.php,POST,user_token,hidden,86e17d6d05591b46f932239f28aeb70c,login.php,86e17d6d05591b46f932239f28aeb70c,safe,404,2.439737319946289,0,0,outputs/response_logs/response_21.html
http://localhost:8080/login.php,POST,user_token,hidden,86e17d6d05591b46f932239f28aeb70c,login.php,' OR '1'='1' --,injection,404,2.4623870849609375,0,0,outputs/response_logs/response_22.html
http://localhost:8080/login.php,POST,user_token,hidden,86e17d6d05591b46f932239f28aeb70c,login.php,1; DROP TABLE users --,injection,404,2.019166946411133,0,0,outputs/response_logs/response_23.html
