event_id,timestamp,username,user_id,ip_address,user_agent,endpoint,method,status_code,auth_result,failure_reason,attempt_count_for_username,attempt_count_from_ip,time_since_last_attempt_for_username,session_id,is_bruteforce_candidate,is_anomalous,notes
507611ab-1f15-4399-b8f6-1a544d3271a0,2025-11-10T10:14:00.915617+00:00,c113fe51dc98d22fe8d94f2c1585055aa4b67548616ba9a45a4fa0add57531d6,c113fe51dc98d22fe8d94f2c1585055aa4b67548616ba9a45a4fa0add57531d6,3c4153d469d490d119dda43c3a0c9a0ab153a6477e88657c6f21f81592d3d3de,curl/7.68.0,/login,POST,200,success,,bacaa4c5380ca616ca0d418cb73196bf1e57483990b2d8e16387ea11abc3c5d7,1,1,0,0,0,
f5bc565f-62a9-4f65-8aa2-e381710bf024,2025-11-10T10:14:02.390967+00:00,c113fe51dc98d22fe8d94f2c1585055aa4b67548616ba9a45a4fa0add57531d6,c113fe51dc98d22fe8d94f2c1585055aa4b67548616ba9a45a4fa0add57531d6,3c4153d469d490d119dda43c3a0c9a0ab153a6477e88657c6f21f81592d3d3de,curl/7.68.0,/login,POST,401,failure,wrong password,,2,2,1.47535,0,0,
e5a1cd6d-4e08-4c57-9633-268edee0b8b9,2025-11-10T10:14:05.088734+00:00,9bb2e1c2f40c5ca2d6903a7729de79b078adfb770a4b601b05152d3246d29e6c,9bb2e1c2f40c5ca2d6903a7729de79b078adfb770a4b601b05152d3246d29e6c,3c4153d469d490d119dda43c3a0c9a0ab153a6477e88657c6f21f81592d3d3de,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",/login,POST,401,failure,wrong password,,1,3,0,0,0,
099de5b9-3e9f-4f27-bd92-7fc259bc0321,2025-11-10T10:14:05.679641+00:00,9bb2e1c2f40c5ca2d6903a7729de79b078adfb770a4b601b05152d3246d29e6c,9bb2e1c2f40c5ca2d6903a7729de79b078adfb770a4b601b05152d3246d29e6c,3c4153d469d490d119dda43c3a0c9a0ab153a6477e88657c6f21f81592d3d3de,python-requests/2.25.1,/login,POST,401,failure,wrong password,,2,4,0.590907,0,0,
1270a66d-1f97-465a-b756-8ba15b820f9d,2025-11-10T10:14:06.174570+00:00,9bb2e1c2f40c5ca2d6903a7729de79b078adfb770a4b601b05152d3246d29e6c,9bb2e1c2f40c5ca2d6903a7729de79b078adfb770a4b601b05152d3246d29e6c,3c4153d469d490d119dda43c3a0c9a0ab153a6477e88657c6f21f81592d3d3de,curl/7.68.0,/login,POST,401,failure,wrong password,,3,5,0.494929,0,0,
e0dc6809-7697-42ff-b082-ea2cc473909a,2025-11-10T10:14:06.330333+00:00,9bb2e1c2f40c5ca2d6903a7729de79b078adfb770a4b601b05152d3246d29e6c,9bb2e1c2f40c5ca2d6903a7729de79b078adfb770a4b601b05152d3246d29e6c,3c4153d469d490d119dda43c3a0c9a0ab153a6477e88657c6f21f81592d3d3de,python-requests/2.25.1,/login,POST,401,failure,wrong password,,4,6,0.155763,0,0,
08c686b9-461d-4032-921f-1c443dfa3439,2025-11-10T10:14:06.870166+00:00,9bb2e1c2f40c5ca2d6903a7729de79b078adfb770a4b601b05152d3246d29e6c,9bb2e1c2f40c5ca2d6903a7729de79b078adfb770a4b601b05152d3246d29e6c,3c4153d469d490d119dda43c3a0c9a0ab153a6477e88657c6f21f81592d3d3de,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",/login,POST,401,failure,wrong password,,5,7,0.539833,0,0,
95f0b0a8-2c9d-4edc-92a8-d4b49cd7ddb8,2025-11-10T10:14:07.532609+00:00,9bb2e1c2f40c5ca2d6903a7729de79b078adfb770a4b601b05152d3246d29e6c,9bb2e1c2f40c5ca2d6903a7729de79b078adfb770a4b601b05152d3246d29e6c,3c4153d469d490d119dda43c3a0c9a0ab153a6477e88657c6f21f81592d3d3de,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",/login,POST,401,failure,wrong password,,6,8,0.662443,0,0,
e6ac12dc-35ca-4698-bbf6-2cbcb2b4fbdf,2025-11-10T10:14:07.676464+00:00,9bb2e1c2f40c5ca2d6903a7729de79b078adfb770a4b601b05152d3246d29e6c,9bb2e1c2f40c5ca2d6903a7729de79b078adfb770a4b601b05152d3246d29e6c,3c4153d469d490d119dda43c3a0c9a0ab153a6477e88657c6f21f81592d3d3de,curl/7.68.0,/login,POST,401,failure,wrong password,,7,9,0.143855,0,0,
c1e03b68-52c3-4d3a-8df7-c270d0f18d3d,2025-11-10T10:14:07.959911+00:00,9bb2e1c2f40c5ca2d6903a7729de79b078adfb770a4b601b05152d3246d29e6c,9bb2e1c2f40c5ca2d6903a7729de79b078adfb770a4b601b05152d3246d29e6c,3c4153d469d490d119dda43c3a0c9a0ab153a6477e88657c6f21f81592d3d3de,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",/login,POST,200,success,,1d17efa52df6f46209c732b11fadcaf35d1d1360cc2b355b86e007cb70308c95,8,10,0.283447,0,0,
