url,response_time,html_content_length,error_message_flag,is_malicious,response_time_norm,content_length_delta
http://localhost:8080/login.php,1.0,0.0,0,0,1.0,0.0
http://localhost:8080/login.php,0.61962028840265,0.0,0,1,0.6196202884026502,0.0
http://localhost:8080/login.php,0.2737598129280107,0.0,0,1,0.2737598129280107,0.0
http://localhost:8080/login.php,0.5814264239184901,0.0,0,0,0.5814264239184901,0.0
http://localhost:8080/login.php,0.07555258615889981,0.0,0,1,0.07555258615889984,0.0
http://localhost:8080/login.php,0.12694170703190238,0.0,0,1,0.12694170703190236,0.0
http://localhost:8080/login.php,0.3677968932687489,0.0,0,0,0.367796893268749,0.0
http://localhost:8080/login.php,0.06458437726184513,0.0,0,1,0.06458437726184511,0.0
http://localhost:8080/login.php,0.5371638550192082,0.0,0,1,0.5371638550192083,0.0
http://localhost:8080/login.php,0.10049551806692275,0.0,0,0,0.10049551806692278,0.0
http://localhost:8080/login.php,0.05784755859918711,0.0,0,1,0.05784755859918713,0.0
http://localhost:8080/login.php,0.1272757641556705,0.0,0,1,0.12727576415567052,0.0
http://localhost:8080/login.php,0.18016814208562998,0.0,0,0,0.18016814208562998,0.0
http://localhost:8080/login.php,0.036634931239908686,0.0,0,1,0.03663493123990869,0.0
http://localhost:8080/login.php,0.046767997327543,0.0,0,1,0.04676799732754301,0.0
http://localhost:8080/login.php,0.04287066421691438,0.0,0,0,0.04287066421691437,0.0
http://localhost:8080/login.php,0.0,0.0,0,1,0.0,0.0
http://localhost:8080/login.php,0.04275931184232501,0.0,0,1,0.04275931184232504,0.0
http://localhost:8080/login.php,0.011023885084349372,0.0,0,0,0.011023885084349372,0.0
http://localhost:8080/login.php,0.06436167251266633,0.0,0,1,0.06436167251266633,0.0
http://localhost:8080/login.php,0.003953009297923249,0.0,0,1,0.0039530092979232784,0.0
http://localhost:8080/login.php,0.15216301987639885,0.0,0,0,0.15216301987639885,0.0
http://localhost:8080/login.php,0.1574522576693947,0.0,0,1,0.1574522576693947,0.0
http://localhost:8080/login.php,0.053950225488558545,0.0,0,1,0.053950225488558545,0.0
